symbol,date,n_candidates,chosen,settle,rejected,rejected_settles,reason
HO,2015-10-30,4,id882754,1.5167,id175137|id175137|id882754,1.5|1.5|1.52,matches next day (roll already happened)
HO,2015-11-30,4,id477741,1.3542,id477741|id882754|id882754,1.35|1.34|1.34,matches next day (roll already happened)
HO,2015-12-31,4,id360264,1.1239,id360264|id477741|id477741,1.12|1.1|1.1,matches next day (roll already happened)
HO,2016-01-29,4,id353510,1.0787,id353510|id360264|id360264,1.08|1.06|1.06,matches next day (roll already happened)
HO,2016-02-29,4,id738255,1.0937,id353510|id353510|id738255,1.08|1.08|1.09,matches next day (roll already happened)
HO,2016-04-29,4,id698807,1.386,id279531|id279531|id698807,1.38|1.38|1.39,matches next day (roll already happened)
HO,2016-07-29,4,id636934,1.3075,id636934|id829436|id829436,1.31|1.28|1.28,matches next day (roll already happened)
HO,2016-09-30,4,id767435,1.5383,id767435|id279563|id279563,1.54|1.53|1.53,matches next day (roll already happened)
HO,2016-11-30,4,id279574,1.5763,id444560|id444560|id279574,1.57|1.57|1.58,matches next day (roll already happened)
HO,2016-12-30,4,id41434,1.7282,id279574|id279574|id41434,1.7|1.7|1.73,matches next day (roll already happened)
HO,2017-01-31,4,id553330,1.6308,id41434|id41434|id553330,1.61|1.61|1.63,matches next day (roll already happened)
HO,2017-02-28,4,id477944,1.6399,id553330|id553330|id477944,1.62|1.62|1.64,matches next day (roll already happened)
HO,2017-03-31,4,id800822,1.5746,id800822|id477944|id477944,1.57|1.57|1.57,matches next day (roll already happened)
HO,2017-04-28,4,id93717,1.5072,id800822|id800822|id93717,1.5|1.5|1.51,matches next day (roll already happened)
HO,2017-06-30,4,id347445,1.4831,id155126|id155126|id347445,1.48|1.48|1.48,matches next day (roll already happened)
HO,2017-09-29,4,id161822,1.81,id161822|id862679|id862679,1.81|1.81|1.81,matches next day (roll already happened)
HO,2017-11-30,4,id554395,1.8976,id354199|id354199|id554395,1.89|1.89|1.9,matches next day (roll already happened)
HO,2017-12-29,4,id687796,2.0681,id554395|id554395|id687796,2.08|2.08|2.07,matches next day (roll already happened)
HO,2018-01-31,4,id303048,2.0664,id687796|id687796|id303048,2.07|2.07|2.07,matches next day (roll already happened)
HO,2018-02-28,4,id426793,1.9035,id303048|id303048|id426793,1.91|1.91|1.9,matches next day (roll already happened)
HO,2018-03-29,4,id364921,2.021,id364921|id426793|id426793,2.02|2.03|2.03,matches next day (roll already happened)
HO,2018-06-29,4,id3419,2.2097,id3419|id648352|id648352,2.21|2.21|2.21,matches next day (roll already happened)
HO,2018-08-31,4,id325477,2.2431,id325477|id517851|id517851,2.24|2.24|2.24,matches next day (roll already happened)
HO,2018-09-28,4,id710225,2.3485,id325477|id325477|id710225,2.35|2.35|2.35,matches next day (roll already happened)
HO,2018-11-30,4,id557296,1.8294,id557296|id749668|id749668,1.83|1.85|1.85,matches next day (roll already happened)
HO,2018-12-31,4,id841186,1.6794,id557296|id557296|id841186,1.68|1.68|1.68,matches next day (roll already happened)
HO,2019-01-31,4,id779311,1.8774,id779311|id841186|id841186,1.88|1.88|1.88,matches next day (roll already happened)
HO,2019-02-28,4,id586937,2.0273,id779311|id779311|id586937,2.02|2.02|2.03,matches next day (roll already happened)
HO,2019-03-29,4,id889554,1.9714,id586937|id586937|id889554,1.97|1.97|1.97,matches next day (roll already happened)
HO,2019-05-31,4,id463187,1.8404,id697174|id697174|id463187,1.84|1.84|1.84,matches next day (roll already happened)
HO,2019-06-28,4,id401318,1.9394,id401318|id463187|id463187,1.94|1.94|1.94,matches next day (roll already happened)
HO,2019-08-30,4,id257695,1.8373,id209111|id209111|id257695,1.83|1.83|1.84,matches next day (roll already happened)
HO,2019-11-29,4,id449683,1.8785,id642055|id642055|id449683,1.88|1.88|1.88,matches next day (roll already happened)
HO,2019-12-31,4,id49483,2.0228,id449683|id449683|id49483,2.03|2.03|2.02,matches next day (roll already happened)
HO,2020-01-31,4,id607011,1.6284,id49483|id49483|id607011,1.62|1.62|1.63,matches next day (roll already happened)
HO,2020-02-28,2,id414633,1.4773,id414633,1.48,matches next day (roll already happened)
HO,2020-04-30,4,id559937,0.8331,id559937|id782824|id782824,0.83|0.73|0.73,matches next day (roll already happened)
HO,2020-05-29,4,id367564,1.0366,id367564|id559937|id559937,1.04|0.96|0.96,matches next day (roll already happened)
HO,2020-07-31,4,id49492,1.224,id205981|id205981|id49492,1.22|1.22|1.22,matches next day (roll already happened)
HO,2020-10-30,4,id223159,1.0859,id223159|id384127|id384127,1.09|1.08|1.08,matches next day (roll already happened)
HO,2020-11-30,4,id252774,1.3714,id223159|id223159|id252774,1.36|1.36|1.37,matches next day (roll already happened)
HO,2020-12-31,4,id658542,1.484,id658542|id252774|id252774,1.48|1.48|1.48,matches next day (roll already happened)
HO,2021-01-29,4,id466169,1.5984,id466169|id658542|id658542,1.6|1.6|1.6,matches next day (roll already happened)
HO,2021-02-26,4,id304294,1.8431,id466169|id466169|id304294,1.86|1.86|1.84,matches next day (roll already happened)
HO,2021-04-30,4,id527167,1.9224,id112628|id112628|id527167,1.92|1.92|1.92,matches next day (roll already happened)
HO,2021-05-28,4,id121324,2.0383,id527167|id527167|id121324,2.04|2.04|2.04,matches next day (roll already happened)
HO,2021-07-30,4,id689068,2.1956,id689068|id728922|id728922,2.2|2.2|2.2,matches next day (roll already happened)
HO,2021-10-29,4,id313721,2.4787,id506046|id506046|id313721,2.5|2.5|2.48,matches next day (roll already happened)
HO,2021-11-30,4,id151854,2.0603,id151854|id313721|id313721,2.06|2.06|2.06,matches next day (roll already happened)
HO,2021-12-31,4,id188582,2.3253,id151854|id151854|id188582,2.33|2.33|2.33,matches next day (roll already happened)
HO,2022-01-31,4,id765688,2.7157,id188582|id188582|id765688,2.76|2.76|2.72,matches next day (roll already happened)
HO,2022-02-28,4,id573317,2.9313,id573317|id765688|id765688,2.93|3.01|3.01,matches next day (roll already happened)
HO,2022-04-29,4,id162424,4.0172,id411439|id411439|id162424,4.78|4.78|4.02,matches next day (roll already happened)
HO,2022-07-29,4,id219114,3.549,id219114|id472444|id472444,3.55|3.62|3.62,matches next day (roll already happened)
HO,2022-09-30,4,id603822,3.2216,id796190|id796190|id603822,3.37|3.37|3.22,matches next day (roll already happened)
HO,2022-11-30,4,id249565,3.3635,id441943|id441943|id249565,3.36|3.36|3.36,matches next day (roll already happened)
HO,2022-12-30,4,id747498,3.295,id249565|id249565|id747498,3.36|3.36|3.3,matches next day (roll already happened)
HO,2023-01-31,4,id92828,3.1448,id747498|id747498|id92828,3.18|3.18|3.14,matches next day (roll already happened)
HO,2023-03-31,4,id123365,2.6206,id123365|id315683|id315683,2.62|2.68|2.68,matches next day (roll already happened)
HO,2023-04-28,4,id569062,2.3771,id123365|id123365|id569062,2.38|2.38|2.38,matches next day (roll already happened)
HO,2023-06-30,4,id376686,2.4476,id376686|id730934|id730934,2.45|2.45|2.45,matches next day (roll already happened)
HO,2023-09-29,4,id669932,3.3006,id669932|id285289|id285289,3.3|3.36|3.36,matches next day (roll already happened)
HO,2023-11-30,4,id538560,2.7542,id538560|id700437|id700437,2.75|2.83|2.83,matches next day (roll already happened)
HO,2023-12-29,4,id311271,2.5289,id538560|id538560|id311271,2.55|2.55|2.53,matches next day (roll already happened)
HO,2024-01-31,4,id99004,2.7852,id311271|id311271|id99004,2.81|2.81|2.79,matches next day (roll already happened)
HO,2024-02-29,4,id638102,2.6499,id638102|id99004|id99004,2.65|2.68|2.68,matches next day (roll already happened)
HO,2024-03-28,4,id321851,2.6227,id638102|id638102|id321851,2.62|2.62|2.62,matches next day (roll already happened)
HO,2024-05-31,4,id379543,2.3842,id287401|id287401|id379543,2.36|2.36|2.38,matches next day (roll already happened)
HO,2024-06-28,4,id717026,2.5331,id717026|id379543|id379543,2.53|2.52|2.52,matches next day (roll already happened)
HO,2024-08-30,4,id119092,2.2783,id119092|id558557|id558557,2.28|2.25|2.25,matches next day (roll already happened)
HO,2024-11-29,4,id186964,2.1924,id492572|id492572|id186964,2.19|2.19|2.19,matches next day (roll already happened)
HO,2024-12-31,4,id774592,2.3164,id186964|id186964|id774592,2.32|2.32|2.32,matches next day (roll already happened)
HO,2025-01-31,4,id224707,2.3973,id224707|id774592|id774592,2.4|2.48|2.48,matches next day (roll already happened)
HO,2025-02-28,4,id278013,2.315,id278013|id224707|id224707,2.32|2.35|2.35,matches next day (roll already happened)
HO,2025-05-30,4,id255064,2.0054,id255064|id428810|id428810,2.01|2.02|2.02,matches next day (roll already happened)
HO,2025-08-29,4,id186064,2.2698,id238755|id238755|id186064,2.27|2.27|2.27,matches next day (roll already happened)
HO,2025-10-31,4,id292411,2.3986,id259177|id259177|id292411,2.43|2.43|2.4,matches next day (roll already happened)
HO,2025-11-28,4,id482097,2.3031,id482097|id292411|id292411,2.3|2.33|2.33,matches next day (roll already happened)
HO,2025-12-31,4,id745979,2.1215,id482097|id482097|id745979,2.12|2.12|2.12,matches next day (roll already happened)
HO,2026-01-30,4,id711006,2.533,id711006|id745979|id745979,2.53|2.74|2.74,matches next day (roll already happened)
HO,2026-02-27,4,id324570,2.596,id711006|id711006|id324570,2.67|2.67|2.6,matches next day (roll already happened)
HO,2026-03-31,4,id518631,4.1138,id324570|id324570|id518631,4.16|4.16|4.11,matches next day (roll already happened)
HO,2026-05-29,4,id361233,3.4886,id371168|id371168|id361233,3.54|3.54|3.49,matches next day (roll already happened)
HO,2026-07-31,4,id486417,4.0955,id486417|id134066|id134066,4.1|4.12|4.12,matches next day (roll already happened)
KE,2014-03-14,4,id880868,751.5,id880868|id365616|id365616,751.5|744.0|744.0,matches next day (roll already happened)
KE,2014-09-12,4,id504305,593.25,id827180|id827180|id504305,572.25|572.25|593.25,matches next day (roll already happened)
KE,2014-12-12,4,id504203,634.25,id504203|id504305|id504305,634.25|634.0|634.0,matches next day (roll already happened)
KE,2015-03-13,4,id311827,539.25,id311827|id504203|id504203,539.25|541.75|541.75,matches next day (roll already happened)
KE,2015-09-14,4,id566073,496.25,id566073|id696576|id696576,496.25|470.75|470.75,matches next day (roll already happened)
KE,2015-12-14,4,id145219,488.0,id566073|id566073|id145219,472.5|472.5|488.0,matches next day (roll already happened)
KE,2016-05-13,4,id510960,456.0,id510960|id833831|id833831,456.0|444.75|444.75,matches next day (roll already happened)
KE,2016-12-14,4,id274618,420.0,id336491|id336491|id274618,400.5|400.5|420.0,matches next day (roll already happened)
KE,2017-05-12,4,id624353,439.25,id624353|id85161|id85161,439.25|429.0|429.0,matches next day (roll already happened)
KE,2017-07-14,4,id708395,513.5,id624353|id624353|id708395,499.0|499.0|513.5,matches next day (roll already happened)
KE,2017-12-14,4,id454147,418.25,id454147|id516014|id516014,418.25|402.5|402.5,matches next day (roll already happened)
KE,2018-07-13,4,id808821,491.75,id63069|id63069|id808821,469.25|469.25|491.75,matches next day (roll already happened)
KE,2018-09-14,4,id101392,516.25,id101392|id808821|id808821,516.25|479.0|479.0,matches next day (roll already happened)
KE,2018-12-14,4,id88282,518.25,id101392|id101392|id88282,492.5|492.5|518.25,matches next day (roll already happened)
KE,2019-07-12,4,id694406,467.25,id694406|id141774|id141774,467.25|461.25|461.25,matches next day (roll already happened)
KE,2019-09-13,4,id532524,399.75,id532524|id694406|id694406,399.75|383.5|383.5,matches next day (roll already happened)
KE,2019-12-13,4,id117331,442.75,id532524|id532524|id117331,427.5|427.5|442.75,matches next day (roll already happened)
KE,2020-03-13,4,id340148,431.5,id117331|id117331|id340148,431.25|431.25|431.5,matches next day (roll already happened)
KE,2021-03-12,4,id169700,603.5,id169700|id383204|id383204,603.5|595.0|595.0,matches next day (roll already happened)
KE,2021-05-14,4,id777327,657.75,id169700|id169700|id777327,651.75|651.75|657.75,matches next day (roll already happened)
KE,2021-12-14,4,id104607,811.75,id182563|id182563|id104607,805.25|805.25|811.75,matches next day (roll already happened)
KE,2022-05-13,4,id233898,1282.0,id233898|id628335|id628335,1282.0|1252.75|1252.75,matches next day (roll already happened)
KE,2022-12-14,4,id413260,850.25,id413260|id727661|id727661,850.25|869.75|869.75,matches next day (roll already happened)
KE,2023-05-12,4,id443766,877.0,id291439|id291439|id443766,891.75|891.75|877.0,matches next day (roll already happened)
KE,2023-07-14,4,id65298,829.0,id65298|id443766|id443766,829.0|809.25|809.25,matches next day (roll already happened)
KE,2023-12-14,4,id672861,636.5,id279057|id279057|id672861,626.75|626.75|636.5,matches next day (roll already happened)
KE,2024-07-12,4,id296440,567.75,id296440|id234273|id234273,567.75|604.0|604.0,matches next day (roll already happened)
KE,2024-09-13,4,id266019,600.0,id266019|id296440|id296440,600.0|578.5|578.5,matches next day (roll already happened)
KE,2024-12-13,4,id52142,557.0,id266019|id266019|id52142,538.75|538.75|557.0,matches next day (roll already happened)
KE,2025-03-14,4,id275391,586.0,id275391|id52142|id52142,586.0|573.5|573.5,matches next day (roll already happened)
KE,2025-09-12,4,id4120855,514.75,id4120855|id4121245|id4121245,514.75|487.0|487.0,matches next day (roll already happened)
KE,2025-12-12,4,id4120856,518.0,id4120856|id4120855|id4120855,518.0|498.75|498.75,matches next day (roll already happened)
KE,2026-03-13,4,id4121231,630.0,id4121231|id4120856|id4120856,630.0|618.75|618.75,matches next day (roll already happened)
LE,2010-06-30,4,id8715,90.025,id103|id103|id8715,91.25|91.25|90.02,matches next day (roll already happened)
LE,2010-08-31,4,id286,97.275,id8715|id8715|id286,97.25|97.25|97.28,matches next day (roll already happened)
LE,2010-10-29,4,id15871,98.825,id15871|id286|id286,98.82|98.85|98.85,matches next day (roll already happened)
LE,2010-12-31,4,id12740,108.35,id12740|id15871|id15871,108.35|107.9|107.9,matches next day (roll already happened)
LE,2011-02-28,4,id5895,112.9,id5895|id12740|id12740,112.9|110.25|110.25,matches next day (roll already happened)
LE,2011-04-29,4,id23679,113.35,id5895|id5895|id23679,117.05|117.05|113.35,matches next day (roll already happened)
LE,2011-06-30,4,id62055,110.875,id23679|id23679|id62055,112.75|112.75|110.88,matches next day (roll already happened)
LE,2011-08-31,4,id45725,114.025,id45725|id62055|id62055,114.02|113.0|113.0,matches next day (roll already happened)
LE,2011-10-31,4,id12021,118.6,id12021|id45725|id45725,118.6|119.8|119.8,matches next day (roll already happened)
LE,2011-12-30,4,id27489,121.45,id12021|id12021|id27489,122.9|122.9|121.45,matches next day (roll already happened)
LE,2012-02-29,4,id3970,129.75,id27489|id27489|id3970,127.65|127.65|129.75,matches next day (roll already happened)
LE,2012-04-30,4,id7814,114.15,id7814|id3970|id3970,114.15|118.75|118.75,matches next day (roll already happened)
LE,2012-06-29,4,id68958,120.45,id68958|id7814|id7814,120.45|116.55|116.55,matches next day (roll already happened)
LE,2012-08-31,4,id36603,126.025,id36603|id68958|id68958,126.02|118.08|118.08,matches next day (roll already happened)
LE,2013-06-28,4,id98503,122.025,id59192|id59192|id98503,118.15|118.15|122.02,matches next day (roll already happened)
LE,2013-08-30,4,id74197,126.8,id98503|id98503|id74197,122.7|122.7|126.8,matches next day (roll already happened)
LE,2014-02-28,4,id237704,144.975,id237704|id97937|id97937,144.98|151.95|151.95,matches next day (roll already happened)
LE,2014-08-29,4,id49320,151.425,id105641|id105641|id49320,155.9|155.9|151.43,matches next day (roll already happened)
LE,2014-10-31,4,id49360,166.05,id49320|id49320|id49360,169.5|169.5|166.05,matches next day (roll already happened)
LE,2014-12-31,2,id49474,163.55,id49474,163.55,matches next day (roll already happened)
LE,2015-02-27,4,id94887,151.7,id49474|id49474|id94887,158.0|158.0|151.7,matches next day (roll already happened)
LE,2015-06-30,4,id98677,148.075,id167086|id167086|id98677,147.85|147.85|148.07,matches next day (roll already happened)
LE,2015-10-30,4,id7780,141.725,id7780|id5647|id5647,141.72|139.25|139.25,matches next day (roll already happened)
LE,2015-12-31,4,id13621,136.8,id13621|id7780|id7780,136.8|135.8|135.8,matches next day (roll already happened)
LE,2016-02-29,4,id15172,136.975,id13621|id13621|id15172,139.5|139.5|136.98,matches next day (roll already happened)
LE,2016-04-29,4,id165581,114.925,id165581|id15172|id15172,114.92|123.1|123.1,matches next day (roll already happened)
LE,2016-12-30,4,id108928,116.05,id108928|id144592|id144592,116.05|119.0|119.0,matches next day (roll already happened)
LE,2017-02-28,4,id25444,117.925,id25444|id108928|id108928,117.92|126.6|126.6,matches next day (roll already happened)
LE,2017-04-28,4,id139,124.025,id139|id25444|id25444,124.02|138.0|138.0,matches next day (roll already happened)
LE,2017-06-30,4,id64,116.3,id139|id139|id64,119.1|119.1|116.3,matches next day (roll already happened)
LE,2017-12-29,4,id8235,121.55,id18815|id18815|id8235,123.0|123.0|121.55,matches next day (roll already happened)
LE,2018-02-28,4,id125548,123.275,id125548|id8235|id8235,123.28|127.5|127.5,matches next day (roll already happened)
LE,2018-06-29,4,id296586,106.725,id296586|id244012|id244012,106.72|107.0|107.0,matches next day (roll already happened)
LE,2018-08-31,4,id118550,108.775,id118550|id296586|id296586,108.78|106.8|106.8,matches next day (roll already happened)
LE,2018-12-31,4,id4390,123.875,id61478|id61478|id4390,124.8|124.8|123.88,matches next day (roll already happened)
LE,2019-02-28,4,id79482,129.85,id4390|id4390|id79482,129.95|129.95|129.85,matches next day (roll already happened)
LE,2019-06-28,4,id45200,104.35,id45200|id88159|id88159,104.35|110.5|110.5,matches next day (roll already happened)
LE,2019-08-30,4,id163980,98.925,id163980|id45200|id45200,98.92|105.0|105.0,matches next day (roll already happened)
LE,2019-12-31,4,id55623,125.925,id55623|id19296|id19296,125.92|124.7|124.7,matches next day (roll already happened)
LE,2020-02-28,4,id6570,107.575,id55623|id55623|id6570,112.7|112.7|107.58,matches next day (roll already happened)
LE,2020-04-30,4,id325457,85.95,id325457|id6570|id6570,85.95|90.0|90.0,matches next day (roll already happened)
LE,2020-10-30,4,id171885,108.3,id171885|id26421|id26421,108.3|105.98|105.98,matches next day (roll already happened)
LE,2020-12-31,4,id65665,115.025,id171885|id171885|id65665,112.95|112.95|115.02,matches next day (roll already happened)
LE,2021-02-26,4,id2324,120.0,id2324|id65665|id65665,120.0|113.1|113.1,matches next day (roll already happened)
LE,2021-04-30,4,id12842,116.575,id12842|id2324|id2324,116.58|116.0|116.0,matches next day (roll already happened)
LE,2021-10-29,4,id38388,129.275,id38388|id37535|id37535,129.28|127.38|127.38,matches next day (roll already happened)
LE,2021-12-31,4,id77508,139.7,id38388|id38388|id77508,138.9|138.9|139.7,matches next day (roll already happened)
LE,2022-02-28,4,id50598,141.425,id50598|id77508|id77508,141.43|140.5|140.5,matches next day (roll already happened)
LE,2022-04-29,4,id265304,132.65,id50598|id50598|id265304,141.9|141.9|132.65,matches next day (roll already happened)
LE,2022-12-30,4,id10592,157.9,id10592|id172109|id172109,157.9|154.82|154.82,matches next day (roll already happened)
LE,2023-04-28,4,id5211,165.475,id106424|id106424|id5211,175.18|175.18|165.48,matches next day (roll already happened)
LE,2023-06-30,4,id94571,177.175,id5211|id5211|id94571,181.5|181.5|177.18,matches next day (roll already happened)
LE,2023-12-29,4,id227267,168.5,id901|id901|id227267,173.68|173.68|168.5,matches next day (roll already happened)
LE,2024-02-29,4,id126564,185.35,id126564|id227267|id227267,185.35|184.0|184.0,matches next day (roll already happened)
LE,2024-06-28,4,id289303,185.425,id289303|id50300|id50300,185.42|193.5|193.5,matches next day (roll already happened)
LE,2024-08-30,4,id93290,178.6,id289303|id289303|id93290,185.85|185.85|178.6,matches next day (roll already happened)
LE,2024-12-31,4,id42023491,191.6,id4129493|id4129493|id42023491,193.85|193.85|191.6,matches next day (roll already happened)
LE,2025-02-28,4,id42167175,192.65,id42023491|id42023491|id42167175,197.72|197.72|192.65,matches next day (roll already happened)
LE,2025-08-29,4,id42249884,239.65,id42249884|id42259669|id42259669,239.65|241.9|241.9,matches next day (roll already happened)
LE,2025-10-31,4,id42041124,229.675,id42249884|id42249884|id42041124,236.6|236.6|229.68,matches next day (roll already happened)
LE,2025-12-31,4,id42000549,231.6,id42000549|id42041124|id42041124,231.6|232.0|232.0,matches next day (roll already happened)
LE,2026-02-27,4,id42406129,232.225,id42000549|id42000549|id42406129,244.0|244.0|232.22,matches next day (roll already happened)
M2K,2019-06-21,4,id7341,1552.0,id7341|id7449|id7449,1552.0|1554.55|1554.55,matches next day (roll already happened)
M2K,2019-09-20,4,id7363,1561.3,id7363|id7341|id7341,1561.3|1562.38|1562.38,matches next day (roll already happened)
M2K,2019-12-20,4,id7420,1674.0,id7363|id7363|id7420,1672.12|1672.12|1674.0,matches next day (roll already happened)
M2K,2020-03-20,4,id7207,1015.9,id7207|id7420|id7420,1015.9|1069.24|1069.24,matches next day (roll already happened)
M2K,2020-06-19,4,id17929,1401.9,id7207|id7207|id17929,1442.72|1442.72|1401.9,matches next day (roll already happened)
M2K,2020-09-18,4,id26084,1535.6,id17929|id17929|id26084,1557.61|1557.61|1535.6,matches next day (roll already happened)
M2K,2020-12-18,4,id9534,1965.6,id9534|id26084|id26084,1965.6|1986.3|1986.3,matches next day (roll already happened)
M2K,2021-03-19,4,id18174,2279.1,id18174|id9534|id9534,2279.1|2266.16|2266.16,matches next day (roll already happened)
M2K,2021-06-18,4,id3869,2230.6,id18174|id18174|id3869,2259.47|2259.47|2230.6,matches next day (roll already happened)
M2K,2021-09-17,4,id17409,2228.3,id3869|id3869|id17409,2241.04|2241.04|2228.3,matches next day (roll already happened)
M2K,2021-12-17,4,id4790,2167.6,id17409|id17409|id4790,2142.43|2142.43|2167.6,matches next day (roll already happened)
M2K,2022-03-18,4,id13147,2080.2,id13147|id4790|id4790,2080.2|2062.69|2062.69,matches next day (roll already happened)
M2K,2022-06-17,4,id411,1665.1,id13147|id13147|id411,1664.11|1664.11|1665.1,matches next day (roll already happened)
M2K,2022-09-16,4,id9208,1803.4,id411|id411|id9208,1804.58|1804.58|1803.4,matches next day (roll already happened)
M2K,2022-12-16,4,id20443,1774.2,id9208|id9208|id20443,1752.41|1752.41|1774.2,matches next day (roll already happened)
M2K,2023-03-17,4,id2634,1738.4,id20443|id20443|id2634,1759.01|1759.01|1738.4,matches next day (roll already happened)
M2K,2023-06-16,4,id2646,1893.4,id2634|id2634|id2646,1909.1|1909.1|1893.4,matches next day (roll already happened)
M2K,2023-09-15,4,id29665,1865.1,id29665|id2646|id2646,1865.1|1861.06|1861.06,matches next day (roll already happened)
M2K,2023-12-15,4,id1359,2005.4,id1359|id29665|id29665,2005.4|2009.33|2009.33,matches next day (roll already happened)
M2K,2024-03-15,4,id7128,2063.3,id7128|id1359|id1359,2063.3|2019.05|2019.05,matches next day (roll already happened)
M2K,2024-06-21,4,id11768,2043.4,id11768|id7128|id7128,2043.4|2015.54|2015.54,matches next day (roll already happened)
M2K,2024-09-20,4,id42025327,2252.6,id42025327|id11768|id11768,2252.6|2244.45|2244.45,matches next day (roll already happened)
M2K,2024-12-20,4,id42005649,2267.8,id42005649|id42025327|id42025327,2267.8|2194.05|2194.05,matches next day (roll already happened)
M2K,2025-03-21,4,id42000774,2074.4,id42000774|id42005649|id42005649,2074.4|2045.65|2045.65,matches next day (roll already happened)
M2K,2025-06-20,4,id42002059,2124.9,id42002059|id42000774|id42000774,2124.9|2128.86|2128.86,matches next day (roll already happened)
M2K,2025-09-19,4,id42002511,2466.3,id42002059|id42002059|id42002511,2472.04|2472.04|2466.3,matches next day (roll already happened)
M2K,2025-12-19,4,id42002147,2545.9,id42002511|id42002511|id42002147,2509.56|2509.56|2545.9,matches next day (roll already happened)
M2K,2026-03-20,4,id42002073,2455.0,id42002073|id42002147|id42002147,2455.0|2496.4|2496.4,matches next day (roll already happened)
M2K,2026-06-18,4,id42004428,3000.0,id42002073|id42002073|id42004428,2960.73|2960.73|3000.0,matches next day (roll already happened)
MCL,2010-06-22,4,id182056,77.85,id182055|id182055|id182056,77.21|77.21|77.85,matches next day (roll already happened)
MCL,2010-07-20,4,id182057,77.58,id182056|id182056|id182057,77.44|77.44|77.58,matches next day (roll already happened)
MCL,2010-08-20,4,id182058,73.82,id182057|id182057|id182058,73.46|73.46|73.82,matches next day (roll already happened)
MCL,2010-09-21,4,id182059,74.97,id182058|id182058|id182059,73.52|73.52|74.97,matches next day (roll already happened)
MCL,2010-10-20,4,id182010,82.54,id182010|id182059|id182059,82.54|81.77|81.77,matches next day (roll already happened)
MCL,2010-11-19,4,id182060,81.98,id182060|id182010|id182010,81.98|81.51|81.51,matches next day (roll already happened)
MCL,2010-12-20,4,id182061,89.37,id182060|id182060|id182061,88.81|88.81|89.37,matches next day (roll already happened)
MCL,2011-01-20,4,id182062,89.59,id182061|id182061|id182062,88.86|88.86|89.59,matches next day (roll already happened)
MCL,2011-02-22,4,id182063,95.42,id182062|id182062|id182063,93.57|93.57|95.42,matches next day (roll already happened)
MCL,2011-03-22,4,id182064,104.97,id182063|id182063|id182064,104.0|104.0|104.97,matches next day (roll already happened)
MCL,2011-05-20,4,id182066,100.1,id182065|id182065|id182066,99.49|99.49|100.1,matches next day (roll already happened)
MCL,2011-06-21,4,id182067,94.17,id182066|id182066|id182067,93.4|93.4|94.17,matches next day (roll already happened)
MCL,2011-07-20,4,id182068,98.4,id182067|id182067|id182068,98.14|98.14|98.4,matches next day (roll already happened)
MCL,2011-08-22,4,id182069,84.42,id182068|id182068|id182069,84.12|84.12|84.42,matches next day (roll already happened)
MCL,2011-09-20,4,id182070,86.92,id182070|id182069|id182069,86.92|86.89|86.89,matches next day (roll already happened)
MCL,2011-10-20,4,id182020,86.07,id182020|id182070|id182070,86.07|85.3|85.3,matches next day (roll already happened)
MCL,2011-11-18,4,id187485,97.67,id187485|id182020|id182020,97.67|97.41|97.41,matches next day (roll already happened)
MCL,2011-12-20,4,id187486,97.24,id187485|id187485|id187486,97.22|97.22|97.24,matches next day (roll already happened)
MCL,2012-01-20,4,id187487,98.33,id187486|id187486|id187487,98.46|98.46|98.33,matches next day (roll already happened)
MCL,2012-02-21,4,id187488,106.25,id187488|id187487|id187487,106.25|105.84|105.84,matches next day (roll already happened)
MCL,2012-03-20,4,id187489,106.07,id187488|id187488|id187489,105.61|105.61|106.07,matches next day (roll already happened)
MCL,2012-04-20,4,id187490,103.88,id187490|id187489|id187489,103.88|103.05|103.05,matches next day (roll already happened)
MCL,2012-05-22,4,id187491,91.85,id187490|id187490|id187491,91.66|91.66|91.85,matches next day (roll already happened)
MCL,2012-06-20,4,id187492,81.45,id187491|id187491|id187492,81.8|81.8|81.45,matches next day (roll already happened)
MCL,2012-07-20,4,id187493,91.83,id187492|id187492|id187493,91.44|91.44|91.83,matches next day (roll already happened)
MCL,2012-11-16,4,id403391,86.92,id182032|id182032|id403391,86.67|86.67|86.92,matches next day (roll already happened)
MCL,2013-01-22,4,id553122,96.68,id503306|id503306|id553122,96.24|96.24|96.68,matches next day (roll already happened)
MCL,2013-09-20,4,id353303,104.75,id353303|id603475|id603475,104.75|104.67|104.67,matches next day (roll already happened)
MCL,2013-12-19,4,id706802,99.04,id655870|id655870|id706802,98.77|98.77|99.04,matches next day (roll already happened)
MCL,2014-01-21,4,id756241,94.97,id706802|id706802|id756241,94.99|94.99|94.97,matches next day (roll already happened)
MCL,2014-06-20,4,id819165,106.83,id819165|id856639|id856639,106.83|107.26|107.26,matches next day (roll already happened)
MCL,2014-12-19,4,id201012,57.13,id101721|id101721|id201012,56.52|56.52|57.13,matches next day (roll already happened)
MCL,2015-02-20,4,id301158,50.81,id250614|id250614|id301158,50.34|50.34|50.81,matches next day (roll already happened)
MCL,2015-03-20,4,id350597,46.57,id301158|id301158|id350597,45.72|45.72|46.57,matches next day (roll already happened)
MCL,2015-11-20,4,id666022,41.9,id666022|id176502|id176502,41.9|40.39|40.39,matches next day (roll already happened)
MCL,2015-12-21,4,id490640,35.81,id490640|id666022|id666022,35.81|34.74|34.74,matches next day (roll already happened)
